"";"Instance";"Benchmark";"Old";"New";"Update"
"1";"N-t2d100.25";"RandA2";23742;23742;TRUE
"2";"N-t2d100.08";"RandA2";23784;23784;TRUE
"3";"N-t2d100.15";"RandA2";24232;24232;TRUE
"4";"N-t2d100.21";"RandA2";24452;24452;TRUE
"5";"N-t2d100.24";"RandA2";24800;24800;TRUE
"6";"N-t2d100.11";"RandA2";25106;25106;TRUE
"7";"N-t2d100.05";"RandA2";25118;25118;TRUE
"8";"N-t2d100.20";"RandA2";25220;25220;TRUE
"9";"N-t2d100.01";"RandA2";25362;25362;TRUE
"10";"N-t2d100.06";"RandA2";25380;25380;TRUE
"11";"N-t2d100.23";"RandA2";25588;25588;TRUE
"12";"N-t2d100.14";"RandA2";25878;25878;TRUE
"13";"N-t2d100.03";"RandA2";25886;25886;TRUE
"14";"N-t2d100.04";"RandA2";26076;26076;TRUE
"15";"N-t2d100.10";"RandA2";26690;26690;TRUE
"16";"N-t2d100.17";"RandA2";26704;26704;TRUE
"17";"N-t2d100.12";"RandA2";26782;26782;TRUE
"18";"N-t2d100.18";"RandA2";26928;26928;TRUE
"19";"N-t2d100.07";"RandA2";27144;27144;TRUE
"20";"N-t2d100.22";"RandA2";27230;27230;TRUE
"21";"N-p40-05";"RandB";27450;27450;TRUE
"22";"N-p40-02";"RandB";27482;27482;TRUE
"23";"N-t2d100.09";"RandA2";27752;27752;TRUE
"24";"N-t2d100.13";"RandA2";27878;27878;TRUE
"25";"N-p40-03";"RandB";28061;28061;TRUE
"26";"N-t2d100.16";"RandA2";28206;28206;TRUE
"27";"N-p40-08";"RandB";28267;28267;TRUE
"28";"N-t2d100.02";"RandA2";28326;28326;TRUE
"29";"N-p40-07";"RandB";28379;28379;TRUE
"30";"N-p40-04";"RandB";28740;28740;TRUE
"31";"N-t2d100.19";"RandA2";28760;28760;TRUE
"32";"N-p40-06";"RandB";29164;29164;TRUE
"33";"N-p40-01";"RandB";29457;29457;TRUE
"34";"N-p40-09";"RandB";30578;30578;TRUE
"35";"N-p40-11";"RandB";30658;30658;TRUE
"36";"N-p40-12";"RandB";30986;30986;TRUE
"37";"N-p40-10";"RandB";31737;31737;TRUE
"38";"N-p44-07";"RandB";33171;33171;TRUE
"39";"N-p44-09";"RandB";33403;33403;TRUE
"40";"N-p44-04";"RandB";33551;33551;TRUE
"41";"N-p44-10";"RandB";33778;33778;TRUE
"42";"N-p44-15";"RandB";33827;33827;TRUE
"43";"N-p44-12";"RandB";33850;33850;TRUE
"44";"N-p40-13";"RandB";33903;33903;TRUE
"45";"N-p44-06";"RandB";33962;33962;TRUE
"46";"N-p44-11";"RandB";34016;34016;TRUE
"47";"N-p40-14";"RandB";34078;34078;TRUE
"48";"N-p44-08";"RandB";34127;34127;TRUE
"49";"N-p44-03";"RandB";34335;34335;TRUE
"50";"N-p40-15";"RandB";34659;34659;TRUE
"51";"N-p44-05";"RandB";34827;34827;TRUE
"52";"N-p44-02";"RandB";35314;35314;TRUE
"53";"N-p44-13";"RandB";35385;35385;TRUE
"54";"N-p44-17";"RandB";35454;35454;TRUE
"55";"N-p44-14";"RandB";35801;35801;TRUE
"56";"N-p44-01";"RandB";35948;35948;TRUE
"57";"N-p40-16";"RandB";36044;36044;TRUE
"58";"N-p44-16";"RandB";36188;36188;TRUE
"59";"N-p44-19";"RandB";36436;36436;TRUE
"60";"N-p44-23";"RandB";36605;36605;TRUE
"61";"N-p44-18";"RandB";36669;36669;TRUE
"62";"N-p44-22";"RandB";36722;36722;TRUE
"63";"N-p44-20";"RandB";37438;37438;TRUE
"64";"N-p40-18";"RandB";37562;37562;TRUE
"65";"N-p44-21";"RandB";37786;37786;TRUE
"66";"N-p44-25";"RandB";38129;38129;TRUE
"67";"N-p40-17";"RandB";38201;38201;TRUE
"68";"N-p44-24";"RandB";38286;38286;TRUE
"69";"N-p40-19";"RandB";38956;38956;TRUE
"70";"N-p44-26";"RandB";39107;39107;TRUE
"71";"N-p44-27";"RandB";39170;39170;TRUE
"72";"N-p40-20";"RandB";39658;39658;TRUE
"73";"N-p44-28";"RandB";40264;40264;TRUE
"74";"N-p44-30";"RandB";40387;40387;TRUE
"75";"N-p44-29";"RandB";41819;41819;TRUE
"76";"N-p50-06";"RandB";42325;42325;TRUE
"77";"N-p44-33";"RandB";42355;42355;TRUE
"78";"N-p44-32";"RandB";42545;42545;TRUE
"79";"N-p50-07";"RandB";42640;42640;TRUE
"80";"N-p50-08";"RandB";42666;42666;TRUE
"81";"N-p50-12";"RandB";42809;42809;TRUE
"82";"N-p50-05";"RandB";42907;42907;TRUE
"83";"N-p50-13";"RandB";43169;43169;TRUE
"84";"N-p50-11";"RandB";43527;43527;TRUE
"85";"N-p50-10";"RandB";43575;43575;TRUE
"86";"N-p50-09";"RandB";43711;43711;TRUE
"87";"N-p44-31";"RandB";43817;43817;TRUE
"88";"N-p50-02";"RandB";43835;43835;TRUE
"89";"N-p50-04";"RandB";43928;43928;TRUE
"90";"N-p44-35";"RandB";44114;44114;TRUE
"91";"N-p50-03";"RandB";44256;44256;TRUE
"92";"N-p50-14";"RandB";44519;44519;TRUE
"93";"N-p50-01";"RandB";44667;44667;TRUE
"94";"N-p50-15";"RandB";44866;44866;TRUE
"95";"N-p44-34";"RandB";44988;44988;TRUE
"96";"N-p44-37";"RandB";45297;45297;TRUE
"97";"N-p50-16";"RandB";45310;45310;TRUE
"98";"N-p44-36";"RandB";45575;45575;TRUE
"99";"N-p50-17";"RandB";46011;46011;TRUE
"100";"N-p50-20";"RandB";46779;46779;TRUE
"101";"N-p50-18";"RandB";46897;46897;TRUE
"102";"N-p50-19";"RandB";47212;47212;TRUE
"103";"N-p44-38";"RandB";47414;47414;TRUE
"104";"N-p44-40";"RandB";47774;47774;TRUE
"105";"N-p44-41";"RandB";48137;48137;TRUE
"106";"N-p44-39";"RandB";48979;48979;TRUE
"107";"N-p44-42";"RandB";49511;49511;TRUE
"108";"N-p44-43";"RandB";51014;51014;TRUE
"109";"N-p44-44";"RandB";51949;51949;TRUE
"110";"N-p44-46";"RandB";52776;52776;TRUE
"111";"N-p44-45";"RandB";52857;52857;TRUE
"112";"N-p44-47";"RandB";54122;54122;TRUE
"113";"N-p44-48";"RandB";54355;54355;TRUE
"114";"N-p44-50";"RandB";56444;56444;TRUE
"115";"N-p44-49";"RandB";57279;57279;TRUE
"116";"N-t2d150.20";"RandA2";67370;67370;TRUE
"117";"N-t2d150.08";"RandA2";67463;67463;TRUE
"118";"N-t2d150.14";"RandA2";68132;68132;TRUE
"119";"N-t2d150.10";"RandA2";69029;69029;TRUE
"120";"N-t2d150.22";"RandA2";69287;69287;TRUE
"121";"N-t2d150.03";"RandA2";69705;69705;TRUE
"122";"N-t2d150.24";"RandA2";70063;70063;TRUE
"123";"N-t2d150.17";"RandA2";70185;70185;TRUE
"124";"N-t2d150.21";"RandA2";70297;70297;TRUE
"125";"N-t2d150.09";"RandA2";70739;70739;TRUE
"126";"N-t2d150.16";"RandA2";72018;72018;TRUE
"127";"N-t2d150.12";"RandA2";72181;72181;TRUE
"128";"N-t2d150.11";"RandA2";72800;72800;TRUE
"129";"N-t2d150.18";"RandA2";73191;73191;TRUE
"130";"N-t2d150.02";"RandA2";73624;73624;TRUE
"131";"N-t2d150.25";"RandA2";73853;73853;TRUE
"132";"N-t2d150.07";"RandA2";73858;73858;TRUE
"133";"N-t2d150.04";"RandA2";73963;73963;TRUE
"134";"N-t2d150.13";"RandA2";74580;74580;TRUE
"135";"N-t2d150.23";"RandA2";74799;74799;TRUE
"136";"N-t2d150.06";"RandA2";75440;75440;TRUE
"137";"N-t2d150.19";"RandA2";75958;75958;TRUE
"138";"N-t2d150.01";"RandA2";76041;76041;TRUE
"139";"N-t2d150.15";"RandA2";76831;76831;TRUE
"140";"N-t2d150.05";"RandA2";79723;79723;TRUE
"141";"N-t1d100.14";"RandA1";105583;105583;TRUE
"142";"N-t1d100.17";"RandA1";105612;105612;TRUE
"143";"N-t1d100.02";"RandA1";105947;105947;TRUE
"144";"N-t1d100.23";"RandA1";106146;106146;TRUE
"145";"N-t1d100.01";"RandA1";106852;106852;TRUE
"146";"N-t1d100.25";"RandA1";106933;106933;TRUE
"147";"N-t1d100.21";"RandA1";107255;107255;TRUE
"148";"N-t1d100.16";"RandA1";107426;107426;TRUE
"149";"N-t1d100.08";"RandA1";107480;107480;TRUE
"150";"N-t1d100.18";"RandA1";107861;107861;TRUE
"151";"N-t1d100.11";"RandA1";107920;107879;FALSE
"152";"N-t1d100.19";"RandA1";108026;108026;TRUE
"153";"N-t1d100.06";"RandA1";108201;108201;TRUE
"154";"N-t1d100.22";"RandA1";108250;108250;TRUE
"155";"N-t1d100.12";"RandA1";108389;108389;TRUE
"156";"N-t1d100.09";"RandA1";108549;108549;TRUE
"157";"N-t1d100.15";"RandA1";108667;108667;TRUE
"158";"N-t1d100.13";"RandA1";108702;108702;TRUE
"159";"N-t1d100.10";"RandA1";108771;108755;FALSE
"160";"N-t1d100.24";"RandA1";108782;108782;TRUE
"161";"N-t1d100.07";"RandA1";108803;108803;TRUE
"162";"N-t1d100.05";"RandA1";108859;108847;FALSE
"163";"N-t1d100.04";"RandA1";109252;109252;TRUE
"164";"N-t1d100.03";"RandA1";109819;109819;TRUE
"165";"N-t1d100.20";"RandA1";109968;109968;TRUE
"166";"N-t2d200.17";"RandA2";131874;131874;TRUE
"167";"N-t2d200.19";"RandA2";137314;137314;TRUE
"168";"N-t2d200.13";"RandA2";137618;137618;TRUE
"169";"N-t2d200.15";"RandA2";140442;140442;TRUE
"170";"N-t2d200.06";"RandA2";141254;141254;TRUE
"171";"N-t2d200.03";"RandA2";141378;141378;TRUE
"172";"N-t2d200.09";"RandA2";141958;141958;TRUE
"173";"N-t2d200.21";"RandA2";143568;143568;TRUE
"174";"N-t2d200.02";"RandA2";144218;144218;TRUE
"175";"N-t2d200.14";"RandA2";144384;144384;TRUE
"176";"N-t2d200.23";"RandA2";145034;145034;TRUE
"177";"N-t2d200.20";"RandA2";146508;146508;TRUE
"178";"N-t2d200.22";"RandA2";146920;146920;TRUE
"179";"N-t2d200.16";"RandA2";147448;147448;TRUE
"180";"N-t2d200.11";"RandA2";147542;147540;FALSE
"181";"N-t2d200.01";"RandA2";147742;147740;FALSE
"182";"N-t2d200.25";"RandA2";149128;149128;TRUE
"183";"N-t2d200.10";"RandA2";149630;149628;FALSE
"184";"N-t2d200.07";"RandA2";149752;149752;TRUE
"185";"N-t2d200.08";"RandA2";149910;149910;TRUE
"186";"N-t2d200.05";"RandA2";150236;150236;TRUE
"187";"N-t2d200.04";"RandA2";150878;150870;FALSE
"188";"N-t2d200.18";"RandA2";151196;151196;TRUE
"189";"N-t2d200.24";"RandA2";151260;151260;TRUE
"190";"N-t2d200.12";"RandA2";152470;152470;TRUE
"191";"N-t1d150.15";"RandA1";232065;232026;FALSE
"192";"N-t1d150.16";"RandA1";232948;232948;TRUE
"193";"N-t1d150.23";"RandA1";233492;233492;TRUE
"194";"N-t1d150.21";"RandA1";233980;233956;FALSE
"195";"N-t1d150.11";"RandA1";234157;234157;TRUE
"196";"N-t1d150.18";"RandA1";234348;234305;FALSE
"197";"N-t1d150.02";"RandA1";234421;234421;TRUE
"198";"N-t1d150.14";"RandA1";234453;234452;FALSE
"199";"N-t1d150.06";"RandA1";234465;234465;TRUE
"200";"N-t1d150.04";"RandA1";234506;234510;TRUE
"201";"N-t1d150.05";"RandA1";234601;234570;FALSE
"202";"N-t1d150.10";"RandA1";234821;234821;TRUE
"203";"N-t1d150.19";"RandA1";234994;234994;TRUE
"204";"N-t1d150.01";"RandA1";235056;234928;FALSE
"205";"N-t1d150.07";"RandA1";235283;235259;FALSE
"206";"N-t1d150.20";"RandA1";235411;235411;TRUE
"207";"N-t1d150.22";"RandA1";235415;235415;TRUE
"208";"N-t1d150.24";"RandA1";236016;236016;TRUE
"209";"N-t1d150.12";"RandA1";236318;236318;TRUE
"210";"N-t1d150.03";"RandA1";236319;236319;TRUE
"211";"N-t1d150.25";"RandA1";236428;236428;TRUE
"212";"N-t1d150.17";"RandA1";236656;236656;TRUE
"213";"N-t1d150.13";"RandA1";237116;237116;TRUE
"214";"N-t1d150.08";"RandA1";237230;237215;FALSE
"215";"N-t1d150.09";"RandA1";237253;237245;FALSE
"216";"N-t65l11xx_150";"xLOLIB";253206;253283;TRUE
"217";"N-t59n11xx_150";"xLOLIB";318453;318934;TRUE
"218";"N-t1d200.25";"RandA1";406356;406476;TRUE
"219";"N-t1d200.20";"RandA1";406418;406382;FALSE
"220";"N-t1d200.06";"RandA1";406451;406451;TRUE
"221";"N-t1d200.10";"RandA1";406453;406354;FALSE
"222";"N-t1d200.22";"RandA1";407333;407339;TRUE
"223";"N-t1d200.03";"RandA1";407420;407223;FALSE
"224";"N-t1d200.18";"RandA1";407709;407728;TRUE
"225";"N-t1d200.02";"RandA1";407729;407724;FALSE
"226";"N-t1d200.21";"RandA1";408037;408030;FALSE
"227";"N-t1d200.16";"RandA1";408059;407995;FALSE
"228";"N-t1d200.23";"RandA1";408552;408491;FALSE
"229";"N-t1d200.08";"RandA1";408850;408831;FALSE
"230";"N-t1d200.14";"RandA1";408879;408652;FALSE
"231";"N-t1d200.15";"RandA1";409061;409061;TRUE
"232";"N-t1d200.13";"RandA1";409234;409270;TRUE
"233";"N-t1d200.09";"RandA1";409308;409308;TRUE
"234";"N-t1d200.04";"RandA1";410101;410045;FALSE
"235";"N-t1d200.11";"RandA1";410239;410159;FALSE
"236";"N-t1d200.17";"RandA1";410280;410280;TRUE
"237";"N-t1d200.24";"RandA1";410583;410582;FALSE
"238";"N-t1d200.01";"RandA1";410871;410992;TRUE
"239";"N-t1d200.05";"RandA1";411522;411356;FALSE
"240";"N-t1d200.07";"RandA1";412482;412478;FALSE
"241";"N-t1d200.12";"RandA1";412831;412818;FALSE
"242";"N-t1d200.19";"RandA1";412947;412825;FALSE
