Instance;Size;Result
N-be75eec_150;150;3479547
N-be75np_150;150;7162017
N-be75oi_150;150;2243536
N-be75tot_150;150;12270431
N-stabu1_150;150;2870590
N-stabu2_150;150;4326193
N-stabu3_150;150;4507290
N-t59b11xx_150;150;3238100
N-t59d11xx_150;150;1461623
N-t59f11xx_150;150;1539948
N-t59n11xx_150;150;318453
N-t65b11xx_150;150;6433186
N-t65d11xx_150;150;3556730
N-t65f11xx_150;150;3152817
N-t65l11xx_150;150;253206
N-t65n11xx_150;150;550079
N-t69r11xx_150;150;11843437
N-t70b11xx_150;150;9628132
N-t70d11xn_150;150;5816430
N-t70d11xx_150;150;6151361
N-t70f11xx_150;150;5138418
N-t70l11xx_150;150;436862
N-t70n11xx_150;150;948326
N-t74d11xx_150;150;9365784
N-t75d11xx_150;150;9621376
N-t75e11xx_150;150;41567726
N-t75k11xx_150;150;1539206
N-t75n11xx_150;150;1740380
N-tiw56n54_150;150;835995
N-tiw56n58_150;150;1152698
N-tiw56n62_150;150;1625001
N-tiw56n66_150;150;2103450
N-tiw56n67_150;150;2368279
N-tiw56n72_150;150;4132640
N-tiw56r54_150;150;956715
N-tiw56r58_150;150;1217611
N-tiw56r66_150;150;1935339
N-tiw56r67_150;150;2054112
N-tiw56r72_150;150;2821100
N-be75eec_250;250;8863792
N-be75np_250;250;17787439
N-be75oi_250;250;5902311
N-be75tot_250;250;30877286
N-stabu1_250;250;7729985
N-stabu2_250;250;11468284
N-stabu3_250;250;11869084
N-t59b11xx_250;250;8384455
N-t59d11xx_250;250;3831921
N-t59f11xx_250;250;3978521
N-t59n11xx_250;250;822422
N-t65b11xx_250;250;17238947
N-t65d11xx_250;250;9320283
N-t65f11xx_250;250;8391707
N-t65l11xx_250;250;665843
N-t65n11xx_250;250;1426219
N-t69r11xx_250;250;31675692
N-t70b11xx_250;250;25356014
N-t70d11xn_250;250;15166124
N-t70d11xx_250;250;15988331
N-t70f11xx_250;250;13541532
N-t70l11xx_250;250;1108964
N-t70n11xx_250;250;2438817
N-t74d11xx_250;250;24359820
N-t75d11xx_250;250;24987677
N-t75e11xx_250;250;106474931
N-t75k11xx_250;250;4080733
N-t75n11xx_250;250;4515161
N-tiw56n54_250;250;2092186
N-tiw56n58_250;250;2896743
N-tiw56n62_250;250;4129750
N-tiw56n66_250;250;5351638
N-tiw56n67_250;250;6304037
N-tiw56n72_250;250;11138394
N-tiw56r54_250;250;2382752
N-tiw56r58_250;250;3052235
N-tiw56r66_250;250;4931979
N-tiw56r67_250;250;5278228
N-tiw56r72_250;250;7439243
N-be75eec_300;300;12385738
N-be75np_300;300;26007413
N-be75oi_300;300;9383297
