Instance;Repetition;Algorithm;Fitness;Time
"N-stabu1_150";14;"VNS_sorted";2854159;22.082
"N-be75np_150";16;"VNS_sorted";7131493;22.761
"N-be75np_150";17;"VNS_sorted";7130162;22.823
"N-stabu3_150";1;"VNS_sorted";4489667;22.893
"N-stabu2_150";8;"VNS_sorted";4325713;22.912
"N-stabu1_150";12;"VNS_sorted";2863992;23.394
"N-t59d11xx_150";2;"VNS_sorted";1458728;23.375
"N-t59d11xx_150";9;"VNS_sorted";1459224;23.572
"N-stabu1_150";17;"VNS_sorted";2865385;23.666
"N-t59d11xx_150";16;"VNS_sorted";1458105;23.672
"N-stabu1_150";9;"VNS_sorted";2857233;23.768
"N-stabu2_150";5;"VNS_sorted";4311202;23.787
"N-stabu1_150";18;"VNS_sorted";2866281;23.892
"N-stabu2_150";6;"VNS_sorted";4321470;24.034
"N-stabu3_150";20;"VNS_sorted";4476920;23.977
"N-t59d11xx_150";3;"VNS_sorted";1455961;23.980
"N-t59d11xx_150";11;"VNS_sorted";1456121;24.138
"N-stabu3_150";7;"VNS_sorted";4493902;24.254
"N-t65d11xx_150";3;"VNS_sorted";3536081;23.939
"N-stabu1_150";19;"VNS_sorted";2865723;24.868
"N-stabu1_150";11;"VNS_sorted";2859969;24.973
"N-t65d11xx_150";8;"VNS_sorted";3534354;24.131
"N-stabu3_150";16;"VNS_sorted";4483728;25.073
"N-be75np_150";3;"VNS_sorted";7133763;25.289
"N-be75np_150";14;"VNS_sorted";7132350;25.352
"N-t59d11xx_150";14;"VNS_sorted";1458113;25.188
"N-be75tot_150";16;"VNS_sorted";12223497;25.321
"N-t59d11xx_150";15;"VNS_sorted";1456676;25.295
"N-be75np_150";18;"VNS_sorted";7123392;25.520
"N-stabu1_150";8;"VNS_sorted";2866731;25.465
"N-t59d11xx_150";18;"VNS_sorted";1457251;25.393
"N-stabu3_150";4;"VNS_sorted";4494346;25.457
"N-t59f11xx_150";16;"VNS_sorted";1538577;25.532
"N-be75eec_150";4;"VNS_sorted";3465888;25.806
"N-t59d11xx_150";10;"VNS_sorted";1455350;25.526
"N-t59d11xx_150";1;"VNS_sorted";1457564;25.645
"N-stabu2_150";1;"VNS_sorted";4318818;25.699
"N-stabu2_150";9;"VNS_sorted";4301879;25.744
"N-be75tot_150";17;"VNS_sorted";12236411;25.789
"N-be75np_150";19;"VNS_sorted";7129696;25.862
"N-stabu2_150";12;"VNS_sorted";4316876;25.788
"N-t59d11xx_150";7;"VNS_sorted";1457285;25.711
"N-stabu3_150";6;"VNS_sorted";4494307;25.753
"N-t59d11xx_150";4;"VNS_sorted";1459691;25.815
"N-stabu3_150";5;"VNS_sorted";4494426;25.885
"N-stabu3_150";3;"VNS_sorted";4494740;25.869
"N-t59d11xx_150";12;"VNS_sorted";1456166;25.803
"N-be75eec_150";8;"VNS_sorted";3470892;26.113
"N-be75np_150";13;"VNS_sorted";7133077;26.080
"N-stabu2_150";3;"VNS_sorted";4313853;26.037
